lat,long,name,stand_count,overall_canopy_size,canopy_size (cm2/seedlings)
36.412,-89.6963,DJI_0154.JPG_2_6_36.4121_-89.6963.tiff,13.014257,384.99756,29.582752
36.412,-89.6963,DJI_0154.JPG_2_7_36.4121_-89.6963.tiff,12.02576,229.25018,19.06326
36.412,-89.6963,DJI_0154.JPG_2_8_36.4121_-89.6963.tiff,10.942178,252.0534,23.03503
36.412,-89.6963,DJI_0154.JPG_2_9_36.4121_-89.6963.tiff,10.66364,247.81749,23.239483
36.412,-89.6963,DJI_0154.JPG_2_10_36.4121_-89.6963.tiff,12.367482,342.61044,27.702522
36.412,-89.6963,DJI_0154.JPG_2_11_36.4121_-89.6963.tiff,10.153066,305.11926,30.051935
36.4121,-89.6963,DJI_0155.JPG_-2_3_36.4121_-89.6963.tiff,13.884167,316.41443,22.789587
36.4121,-89.6963,DJI_0155.JPG_-2_4_36.4121_-89.6963.tiff,11.166471,271.41382,24.306143
36.4121,-89.6963,DJI_0155.JPG_-2_5_36.4121_-89.6963.tiff,11.304087,274.093,24.247248
36.4121,-89.6963,DJI_0155.JPG_-2_6_36.4121_-89.6963.tiff,11.534485,233.5359,20.246756
36.4121,-89.6963,DJI_0155.JPG_-2_7_36.4121_-89.6963.tiff,10.34876,214.58115,20.734962
36.4121,-89.6963,DJI_0155.JPG_-2_8_36.4121_-89.6963.tiff,9.482556,249.19012,26.278791
36.4121,-89.6963,DJI_0155.JPG_-2_9_36.4121_-89.6963.tiff,9.786496,254.76694,26.032497
36.4121,-89.6963,DJI_0155.JPG_-2_10_36.4121_-89.6963.tiff,11.998223,355.7543,29.650581
36.4121,-89.6963,DJI_0155.JPG_-2_11_36.4121_-89.6963.tiff,13.983241,460.04764,32.89993
36.4121,-89.6963,DJI_0155.JPG_-1_3_36.4121_-89.6963.tiff,14.092313,369.67288,26.232237
36.4121,-89.6963,DJI_0155.JPG_-1_4_36.4121_-89.6963.tiff,11.522389,262.9067,22.81703
36.4121,-89.6963,DJI_0155.JPG_-1_5_36.4121_-89.6963.tiff,12.48085,311.6626,24.971264
36.4121,-89.6963,DJI_0155.JPG_-1_6_36.4121_-89.6963.tiff,13.606233,308.6676,22.685751
36.4121,-89.6963,DJI_0155.JPG_-1_7_36.4121_-89.6963.tiff,10.46263,241.28458,23.06156
36.4121,-89.6963,DJI_0155.JPG_-1_8_36.4121_-89.6963.tiff,10.730941,249.90546,23.28831
36.4121,-89.6963,DJI_0155.JPG_-1_9_36.4121_-89.6963.tiff,12.66834,358.16785,28.272675
